key,path,line,usage
network.emergency.ip,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/ArpSpoofer.java,56,injection
arpProbeCache,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/ArpSpoofer.java,57,injection
arp.sweep.max.size,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/ArpSweeper.java,40,injection
httpPort,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/BaseURLs.java,41,injection
httpsPort,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/BaseURLs.java,42,injection
url.setup.eblocker,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/BaseURLs.java,43,injection
network.control.bar.host.name,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/BaseURLs.java,44,injection
network.unix.dhcp.dhclientHook.path,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/DhcpBindListener.java,55,injection
arpProbeCache,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/DhcpListener.java,36,injection
highPrioScheduledExecutor,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/Ip6AddressDelayedValidator.java,67,injection
network.ip.monitor.command,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/Ip6AddressMonitor.java,50,injection
kill.process.command,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/Ip6AddressMonitor.java,51,injection
arp.ip.grace.period.seconds,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/IpAddressValidator.java,61,injection
executor.arpValidator.fixedRate,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/IpAddressValidator.java,62,injection
network.vpn.subnet.ip,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/IpAddressValidator.java,64,injection
network.vpn.subnet.netmask,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/IpAddressValidator.java,65,injection
network.interface.name,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/NetworkInterfaceWrapper.java,71,injection
network.emergency.ip,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/NetworkInterfaceWrapper.java,72,injection
find.gateway.command,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/NetworkInterfaceWrapper.java,73,injection
network.vpn.interface.name,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/NetworkInterfaceWrapper.java,74,injection
highPrioScheduledExecutor,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/RouterAdvertisementCache.java,46,injection
tor.config.template.file.path,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/TorConfiguration.java,49,injection
tor.config.file.path,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/TorConfiguration.java,50,injection
tor.telnet.control.port,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/TorController.java,77,injection
network.statistic.dumpIptablesCommand,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/TrafficAccounter.java,75,injection
httpPort,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/ZeroconfRegistrationService.java,45,injection
zeroconf.service.default.name,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/ZeroconfRegistrationService.java,46,injection
network.ip6.ra.router.preference,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/icmpv6/RouterAdvertisementFactory.java,47,injection
network.ip6.ra.router.lifetime,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/icmpv6/RouterAdvertisementFactory.java,48,injection
network.ip6.ra.dns.lifetime,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/icmpv6/RouterAdvertisementFactory.java,49,injection
network.unix.dhclient.leases,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/DhcpClientLeaseReader.java,44,injection
network.interface.name,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/DhcpDiscoveryService.java,50,injection
network.unix.dhcp.discovery.command,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/DhcpDiscoveryService.java,51,injection
network.unix.dhcp.discovery.timeout,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/DhcpDiscoveryService.java,52,injection
network.unix.nameserver.config.read.path,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/DnsConfiguration.java,43,injection
network.unix.nameserver.config.write.path,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/DnsConfiguration.java,44,injection
dns.server.default.enabled,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/DnsEnableByDefaultChecker.java,38,injection
dns.server.default.disable.file,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/DnsEnableByDefaultChecker.java,39,injection
dns.server.gateway.local.names,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/DnsGatewayNames.java,56,injection
nettyWorkerEventGroupLoop,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/DnsResolver.java,54,injection
dns.server.channel.command.flush,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/EblockerDnsServer.java,108,injection
dns.server.channel.command.update,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/EblockerDnsServer.java,109,injection
dns.server.default.custom.name.servers,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/EblockerDnsServer.java,110,injection
dns.server.default.local.names,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/EblockerDnsServer.java,111,injection
dns.server.default.tor.name.servers,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/EblockerDnsServer.java,112,injection
dns.server.enabled.file,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/EblockerDnsServer.java,113,injection
network.control.bar.host.name,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/EblockerDnsServer.java,114,injection
network.control.bar.host.fallback.ip,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/unix/EblockerDnsServer.java,115,injection
