path,ecosystem,kind,group,artifact,version
pom.xml,maven,dependency,org.slf4j,jul-to-slf4j,${version.jul-to-slf4j}
pom.xml,maven,dependency,org.slf4j,slf4j-api,${version.slf4j}
pom.xml,maven,dependency,org.apache.logging.log4j,log4j-api,${version.log4j2}
pom.xml,maven,dependency,org.apache.logging.log4j,log4j-core,${version.log4j2}
pom.xml,maven,dependency,org.apache.logging.log4j,log4j-slf4j-impl,${version.log4j2}
pom.xml,maven,dependency,commons-io,commons-io,${version.commons.io}
pom.xml,maven,dependency,commons-codec,commons-codec,${version.commons.codec}
pom.xml,maven,dependency,org.apache.commons,commons-lang3,${version.commons.lang3}
pom.xml,maven,dependency,commons-lang,commons-lang,${version.commons.lang}
pom.xml,maven,dependency,commons-cli,commons-cli,${version.commons.cli}
pom.xml,maven,dependency,org.apache.commons,commons-csv,${version.commons.csv}
pom.xml,maven,dependency,commons-collections,commons-collections,${version.commons.collections}
pom.xml,maven,dependency,org.glassfish.jersey.core,jersey-client,${version.jersey}
pom.xml,maven,dependency,org.glassfish.jersey.media,jersey-media-json-jackson,${version.jersey}
pom.xml,maven,dependency,org.glassfish.jersey.inject,jersey-hk2,${version.jersey}
pom.xml,maven,dependency,org.apache.httpcomponents,httpclient,${version.httpclient}
pom.xml,maven,dependency,org.mapdb,mapdb,${version.mapdb}
pom.xml,maven,dependency,org.brotli,dec,${version.brotli}
pom.xml,maven,dependency,javax.inject,javax.inject,${version.javax.inject}
pom.xml,maven,dependency,com.auth0,java-jwt,${version.java-jwt}
pom.xml,maven,dependency,com.machinepublishers,jbrowserdriver,${version.jbrowserdriver}
pom.xml,maven,dependency,io.github.lukehutch,fast-classpath-scanner,${version.lukehutch}
pom.xml,maven,dependency,junit,junit,${version.junit}
pom.xml,maven,dependency,org.junit.jupiter,junit-jupiter,${version.junit5}
pom.xml,maven,dependency,org.mockito,mockito-core,${version.mockito}
pom.xml,maven,dependency,org.mockito,mockito-junit-jupiter,${version.mockito}
pom.xml,maven,dependency,com.github.fppt,jedis-mock,${version.jedis-mock}
pom.xml,maven,dependency,org.mock-server,mockserver-netty,${version.mockserver}
pom.xml,maven,dependency,org.sonarsource.scanner.maven,sonar-maven-plugin,3.4.0.905
pom.xml,maven,dependency,com.sun.xml.ws,jaxws-ri,${version.jaxws}
pom.xml,maven,dependency,org.junit.vintage,junit-vintage-engine,${version.junit.vintage}
pom.xml,maven,plugin,org.apache.maven.plugins,maven-compiler-plugin,3.8.1
pom.xml,maven,plugin,org.apache.maven.plugins,maven-surefire-plugin,3.2.1
pom.xml,maven,plugin,org.apache.maven.plugins,maven-war-plugin,2.5
pom.xml,maven,plugin,org.apache.maven.plugins,maven-eclipse-plugin,2.9
pom.xml,maven,plugin,org.apache.maven.plugins,maven-enforcer-plugin,1.4.1
pom.xml,maven,plugin,org.apache.maven.plugins,maven-assembly-plugin,2.6
pom.xml,maven,plugin,org.apache.maven.plugins,maven-source-plugin,2.1.1
pom.xml,maven,plugin,org.apache.maven.plugins,maven-javadoc-plugin,2.8
pom.xml,maven,plugin,org.sonarsource.scanner.maven,sonar-maven-plugin,3.4.0.905
pom.xml,maven,plugin,org.jacoco,jacoco-maven-plugin,0.8.7
pom.xml,maven,plugin,org.eclipse.m2e,lifecycle-mapping,1.0.0
pom.xml,maven,plugin,org.apache.maven.plugins,maven-compiler-plugin,inherited
pom.xml,maven,plugin,org.apache.maven.plugins,maven-enforcer-plugin,inherited
pom.xml,maven,plugin,org.apache.maven.plugins,maven-project-info-reports-plugin,2.9
pom.xml,maven,plugin,org.apache.maven.plugins,maven-surefire-plugin,inherited
